Date,Census,Order,Treatment,Shelter,Site,Position,Species,Moisture,Densiometer,Days,Diameter,Leaf_area,Number_leaves
5/20/19,1,1,Drought,1,SIMGLA,1,GUAGUI,13.863636,10.66,0,NA,26.87,3
5/20/19,1,2,Drought,1,SIMGLA,2,SCHMOR,13.863636,10.66,0,NA,8.73,2
5/20/19,1,3,Drought,1,SIMGLA,3,CECSCH,13.863636,10.66,0,NA,3.66,4
5/20/19,1,4,Drought,1,SIMGLA,4,INGLAU,13.863636,10.66,0,NA,80.77,7
5/20/19,1,5,Drought,1,SIMGLA,5,MANBID,13.863636,10.66,0,NA,18.37,2
5/20/19,1,6,Drought,1,SIMGLA,6,TETBAL,13.863636,10.66,0,NA,64.88,2
5/20/19,1,7,Drought,1,SIMGLA,7,PREMON,13.863636,10.66,0,NA,5.63,1
5/20/19,1,8,Drought,1,SIMGLA,8,UREBAC,13.863636,10.66,0,NA,4.15,3
5/20/19,1,9,Drought,1,SIMGLA,9,GUAGUI,13.863636,10.66,0,NA,27.91,3
5/20/19,1,10,Drought,1,SIMGLA,10,SCHMOR,13.863636,10.66,0,NA,10.02,2
5/20/19,1,11,Drought,1,SIMGLA,11,CECSCH,13.863636,10.66,0,NA,6.05,3
5/20/19,1,12,Drought,1,SIMGLA,12,INGLAU,13.863636,10.66,0,NA,81.73,6
5/20/19,1,13,Drought,1,SIMGLA,13,MANBID,13.863636,10.66,0,NA,18.78,2
5/20/19,1,14,Drought,1,SIMGLA,14,TETBAL,13.863636,10.66,0,NA,62.68,2
5/20/19,1,15,Drought,1,SIMGLA,15,PREMON,13.863636,10.66,0,NA,8.81,1
5/20/19,1,16,Drought,1,SIMGLA,16,UREBAC,13.863636,10.66,0,NA,1.92,2
5/20/19,1,17,Control,2,SIMGLA,1,SCHMOR,22.420455,11.96,0,NA,11.8,3
5/20/19,1,18,Control,2,SIMGLA,2,CECSCH,22.420455,11.96,0,NA,5.21,4
5/20/19,1,19,Control,2,SIMGLA,3,SCHMOR,22.420455,11.96,0,NA,6.47,2
5/20/19,1,20,Control,2,SIMGLA,4,TETBAL,22.420455,11.96,0,NA,92.09,3
5/20/19,1,21,Control,2,SIMGLA,5,GUAGUI,22.420455,11.96,0,NA,32.46,3
5/20/19,1,22,Control,2,SIMGLA,6,MANBID,22.420455,11.96,0,NA,18.78,2
5/20/19,1,23,Control,2,SIMGLA,7,UREBAC,22.420455,11.96,0,NA,6.39,4
5/20/19,1,24,Control,2,SIMGLA,8,TETBAL,22.420455,11.96,0,NA,63.5,2
5/20/19,1,25,Control,2,SIMGLA,9,PREMON,22.420455,11.96,0,NA,7.54,1
5/20/19,1,26,Control,2,SIMGLA,10,GUAGUI,22.420455,11.96,0,NA,21.91,2
5/20/19,1,27,Control,2,SIMGLA,11,PREMON,22.420455,11.96,0,NA,10.71,1
5/20/19,1,28,Control,2,SIMGLA,12,MANBID,22.420455,11.96,0,NA,17.36,2
5/20/19,1,29,Control,2,SIMGLA,13,UREBAC,22.420455,11.96,0,NA,3.67,2
5/20/19,1,30,Control,2,SIMGLA,14,INGLAU,22.420455,11.96,0,NA,94.8,8
5/20/19,1,31,Control,2,SIMGLA,15,CECSCH,22.420455,11.96,0,NA,4.22,4
5/20/19,1,32,Control,2,SIMGLA,16,INGLAU,22.420455,11.96,0,NA,64.61,5
5/20/19,1,33,Control,3,SIMGLA,1,TETBAL,17.859091,13.52,0,NA,77.25,2
5/20/19,1,34,Control,3,SIMGLA,2,TETBAL,17.859091,13.52,0,NA,49.21,2
5/20/19,1,35,Control,3,SIMGLA,3,SCHMOR,17.859091,13.52,0,NA,11.32,4
5/20/19,1,36,Control,3,SIMGLA,4,GUAGUI,17.859091,13.52,0,NA,23.77,3
5/20/19,1,37,Control,3,SIMGLA,5,GUAGUI,17.859091,13.52,0,NA,41.14,3
5/20/19,1,38,Control,3,SIMGLA,6,PREMON,17.859091,13.52,0,NA,11.08,1
5/20/19,1,39,Control,3,SIMGLA,7,SCHMOR,17.859091,13.52,0,NA,7.76,3
5/20/19,1,40,Control,3,SIMGLA,8,MANBID,17.859091,13.52,0,NA,18.57,2
5/20/19,1,41,Control,3,SIMGLA,9,CECSCH,17.859091,13.52,0,NA,1.55,2
5/20/19,1,42,Control,3,SIMGLA,10,CECSCH,17.859091,13.52,0,NA,1.55,3
5/20/19,1,43,Control,3,SIMGLA,11,UREBAC,17.859091,13.52,0,NA,4.15,3
5/20/19,1,44,Control,3,SIMGLA,12,INGLAU,17.859091,13.52,0,NA,90,8
5/20/19,1,45,Control,3,SIMGLA,13,MANBID,17.859091,13.52,0,NA,16.96,2
5/20/19,1,46,Control,3,SIMGLA,14,PREMON,17.859091,13.52,0,NA,8.99,1
5/20/19,1,47,Control,3,SIMGLA,15,UREBAC,17.859091,13.52,0,NA,9.1,4
5/20/19,1,48,Control,3,SIMGLA,16,INGLAU,17.859091,13.52,0,NA,76.15,8
5/20/19,1,49,Drought,4,SIMGLA,1,UREBAC,9.670455,11.44,0,NA,3.19,3
5/20/19,1,50,Drought,4,SIMGLA,2,CECSCH,9.670455,11.44,0,NA,2.25,3
5/20/19,1,51,Drought,4,SIMGLA,3,CECSCH,9.670455,11.44,0,NA,2.67,3
5/20/19,1,52,Drought,4,SIMGLA,4,INGLAU,9.670455,11.44,0,NA,81.15,8
5/20/19,1,53,Drought,4,SIMGLA,5,SCHMOR,9.670455,11.44,0,NA,15.68,4
5/20/19,1,54,Drought,4,SIMGLA,6,PREMON,9.670455,11.44,0,NA,10.44,1
5/20/19,1,55,Drought,4,SIMGLA,7,UREBAC,9.670455,11.44,0,NA,9.9,4
5/20/19,1,56,Drought,4,SIMGLA,8,MANBID,9.670455,11.44,0,NA,14.13,2
5/20/19,1,57,Drought,4,SIMGLA,9,PREMON,9.670455,11.44,0,NA,9.44,1
5/20/19,1,58,Drought,4,SIMGLA,10,GUAGUI,9.670455,11.44,0,NA,31.01,3
5/20/19,1,59,Drought,4,SIMGLA,11,MANBID,9.670455,11.44,0,NA,17.57,2
