Date,Treatment,Plot,Position,Species name,E,A,Ca,Ci,Pci,gsw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Fs,Fm',PhiPS2,ETR,Fv'/Fm',PhiCO2,NPQ,Qin,Qabs,alpha,convert,S,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Fan_speed,State
1/18/20,control,27,1,INGLAU,0.000194675,4.399755776,393.089,81.53252588,7.998701244,0.022944444,0.014270139,82.02337993,26.52239904,25.4685,3.269582284,72.97314366,2.456858446,3.366798144,0.812723837,-8.585164428,59.13003001,5.675253888,138.2434994,2085.911154,2376.66,0.122335061,25.76212017,0.61560341,0.010865581,0.493995776,499.983,421.1731281,0.842374897,0.194749794,6,393.089,399.794,25.0433,24.759,400.562,97.9042,0.200221,25.9626,25.4685,9945,5-May
1/18/20,control,27,2,MANBID,0.000427259,3.2745345,394.742,267.9726977,26.29006954,0.043518132,0.026947454,82.04851763,26.50442615,25.635,3.302064098,69.74407259,2.356438494,3.378693567,0.945625604,-18.84213318,46.29000566,4.452446017,113.9488361,2634.127308,2881.77,0.085934232,18.10193864,0.685991595,0.008191526,0.232131641,500.13,421.297501,0.842375984,0.194751968,6,394.742,399.906,24.019,23.3936,400.061,97.9065,0.200769,26.0222,25.635,9930,5-May
1/18/20,control,27,3,MANBID,0.00058844,2.876442927,395.23,312.2709901,30.63893098,0.060261436,0.037182266,82.04405808,26.51632189,25.6361,3.302279626,69.51401225,2.357768497,3.391788822,0.944511129,-25.95021872,53.86877365,5.193571262,115.1561843,1958.118462,2135.4,0.083020295,17.48714534,0.615622366,0.007247012,0.662789173,500.102,421.2739858,0.842376127,0.194752254,6,395.23,399.89,24.0303,23.1695,400.302,97.9153,0.201182,26.0876,25.6361,9900,5-Apr
1/18/20,control,27,4,TETBAL,0.000544775,0.591463363,398.788,375.8538204,36.87923916,0.056658801,0.034989967,82.03269884,26.56239308,25.6072,3.296621184,69.65633554,2.367518098,3.398855366,0.929103086,-24.02458521,62.09143012,5.931097409,126.0306412,1930.192308,1945.46,0.007847857,1.652835703,0.624818809,0.001823273,0.825131331,500.038,421.2196162,0.842375212,0.194750424,6,398.788,400.001,24.1285,23.3311,400.023,97.9219,0.19933,26.1228,25.6072,10035,5-May
1/18/20,control,27,6,PREMON,9.87E-05,0.981557812,398.38,230.5240881,22.62092604,0.009672131,0.006032595,82.00671714,26.6938028,25.8538,3.345177321,69.81972106,2.370238887,3.394798563,0.974938433,-4.354424186,29.81010791,2.865270781,110.3276716,1904.720385,1962.88,0.029629736,6.238284721,0.575144685,0.002750274,0.808933812,499.875,421.0827129,0.84237602,0.19475204,6,398.38,399.911,24.1545,24.01,400.089,97.9281,0.200153,26.1026,25.8538,9960,5-May
1/18/20,control,27,8,GUAGUI,0.000198351,1.311955677,397.825,287.2580288,28.19067019,0.020054464,0.012480212,82.04992877,26.58463519,25.7133,3.317436536,70.14366355,2.370177822,3.379033404,0.947258714,-8.747298337,37.02485244,3.573049949,113.9005328,2503.571154,2591.7,0.034004262,7.16299377,0.627665239,0.003533091,0.370035112,500.132,421.299762,0.842377136,0.194754273,6,397.825,399.911,24.1517,23.8614,400.057,97.9362,0.200901,26.0239,25.7133,9885,5-May
1/18/20,control,27,9,PREMON,0.000224703,1.123044173,398.093,316.919545,31.10025335,0.023840475,0.014824759,82.02589482,26.61194177,25.4309,3.262285809,69.6351138,2.358498145,3.38693802,0.903787664,-9.909405515,75.86410546,7.267231254,155.247826,1608.084615,1648.31,0.024404017,5.139257256,0.566671318,0.003085558,1.154157895,499.992,421.181262,0.842376002,0.194752004,6,398.093,399.912,24.0337,23.7047,399.944,97.9334,0.199561,26.0634,25.4309,9975,5-May
1/18/20,control,27,11,SCHMOR,0.000393431,1.056154578,399.076,347.6615566,34.12037397,0.03764934,0.023399057,82.04870235,26.34476883,25.9424,3.362774782,69.99494508,2.360552829,3.372461863,1.002221953,-17.35031507,8.32835812,0.559630501,73.5863759,554.5674615,586.268,0.054071753,11.39031317,0.588925201,0.002925893,5.056479289,500.138,421.30364,0.842374785,0.194749569,3,399.076,399.985,24.0523,23.7646,400.384,97.9426,0.199899,25.991,25.9424,9960,5-May
1/18/20,control,27,12,GUAGUI,0.000213876,1.264727228,397.935,292.3729001,28.69390328,0.020376751,0.012680189,82.03903468,26.65134906,25.9281,3.3599291,69.37921731,2.354727678,3.393995738,1.005201422,-9.431930002,20.43034698,1.964232107,95.00168376,2527.296923,2652.49,0.047198322,9.941150579,0.628515093,0.003421392,0.338636526,500.074,421.2501705,0.842375669,0.194751339,6,397.935,399.959,23.9932,23.6802,400.149,97.9407,0.20076,26.0986,25.9281,9960,5-May
1/18/20,control,27,14,INGLAU,0.00159051,4.565090087,392.198,341.3835903,33.50533725,0.16788354,0.101319181,82.02673576,26.1577747,25.6469,3.304396377,69.77610949,2.363888667,3.387819533,0.94050771,-70.14147663,50.74743029,4.841362655,67.47405208,2135.703077,2444.47,0.126312421,26.6008129,0.640862846,0.011257666,0.452552087,500.004,421.1907705,0.842374802,0.194749604,6,392.198,399.986,24.0855,21.7558,399.76,97.9464,0.199317,26.0678,25.6469,10050,5-Apr
1/18/20,control,27,15,TETBAL,0.000946314,0.743593295,398.35,380.2084916,37.31720529,0.100156853,0.061294441,81.98850617,26.36164589,25.4231,3.260773962,69.04181354,2.337504599,3.385636152,0.923269363,-41.73243903,76.41834732,7.281645044,123.9560595,2113.934615,2157.88,0.020365073,4.286715004,0.623853041,0.002185645,0.645466847,499.761,420.9869434,0.842376543,0.194753085,6,398.35,400.031,23.8158,22.43,399.961,97.9498,0.199521,26.0569,25.4231,10050,5-May
1/18/20,control,27,16,SCHMOR,0.000691181,0.967670954,398.241,369.8367631,36.30022167,0.070496781,0.043412939,82.01761123,26.3732162,25.5986,3.294938993,69.53020889,2.343977966,3.371164855,0.950961027,-30.48108878,46.71870281,4.43584686,102.6910721,1564.913077,1609.62,0.027774831,5.848439239,0.571898958,0.002716975,1.205936805,499.933,421.1323044,0.842377487,0.194754975,6,398.241,400.105,23.8811,22.8693,400.084,97.9531,0.19891,25.9845,25.5986,10110,5-May
1/18/20,control,28,1,MANBID,0.001149846,0.95115345,398.336,380.2417535,37.32313655,0.126271765,0.077304997,82.06694038,26.05510095,25.1966,3.217138373,69.5217203,2.32737502,3.347694807,0.889763354,-50.70820527,103.678303,7.680294676,142.7173328,1659.710769,1740.94,0.04665826,9.830829047,0.53537744,0.00267607,1.039541857,500.249,421.3971586,0.842374815,0.194749629,4.2,398.336,399.816,23.7109,22.5319,399.902,97.955,0.201334,25.8665,25.1966,9900,5-May
1/18/20,control,28,3,GUAGUI,0.00034755,1.263332262,397.734,337.7192162,33.15267797,0.037384313,0.02317988,82.06053614,26.31358556,25.2056,3.218862454,69.66403699,2.323726186,3.335618041,0.895136268,-15.3269372,71.89610526,6.875957478,145.5056617,1801.085385,1938.09,0.070690533,14.89302009,0.533654268,0.003417204,0.832071782,500.202,421.358262,0.842376204,0.194752408,6,397.734,399.836,23.6713,23.1624,400.066,97.9655,0.200895,25.8055,25.2056,9960,5-May
1/18/20,control,28,4,PREMON,0.001199754,1.857166287,396.412,363.3922383,35.67099965,0.114807559,0.070047604,82.03180689,25.97180687,25.6944,3.313720236,68.83905474,2.288843143,3.324919484,1.024877092,-52.90913027,6.861079115,0.653603326,36.63735907,1161.753462,1270.25,0.085413532,17.98884273,0.571281244,0.004828148,1.795292265,500.036,421.2176315,0.842374612,0.194749224,6,396.412,399.913,23.3172,21.5586,399.788,97.9613,0.199849,25.7513,25.6944,10050,5-May
1/18/20,control,28,6,INGLAU,0.000292371,1.085200695,398.235,333.5352964,32.74375541,0.029670299,0.018426283,82.03044674,26.3483505,25.51,3.277652122,69.82300663,2.330892691,3.338287484,0.946759431,-12.89357694,36.80468286,3.547366496,109.4889192,1903.491154,2065.33,0.0783598,16.50288136,0.540296224,0.002995518,0.719202258,500.024,421.2078467,0.842375259,0.194750519,6,398.235,400.036,23.743,23.3152,400.322,97.9706,0.201185,25.819,25.51,9870,5-May
1/18/20,control,28,7,MANBID,0.000148008,1.144245665,398.244,262.1823471,25.73777639,0.014072111,0.008768965,82.00859648,26.37652775,25.7385,3.322397267,69.42501305,2.316055185,3.336052934,1.006342082,-6.527149515,8.387027818,0.795293131,84.66376791,2843.688846,2923.89,0.027429607,5.775204666,0.68972841,0.003136555,0.21438221,499.887,421.0927739,0.842375925,0.194751849,6,398.244,400.049,23.5929,23.3761,399.952,97.969,0.198465,25.8077,25.7385,10125,5-May
1/18/20,control,28,8,PREMON,0.00027149,0.545815639,398.935,358.7629793,35.22190852,0.025979672,0.016147295,82.05658943,26.26900184,25.6655,3.30804467,69.39462747,2.304936482,3.321491254,1.003108188,-11.97272256,8.172760201,0.785519766,79.04214684,1494.376154,1563.16,0.044003075,9.270184289,0.550577036,0.001714402,1.271501318,500.184,421.3425705,0.842375147,0.194750294,6,398.935,399.916,23.4776,23.08,400.075,97.9757,0.200284,25.7339,25.6655,9915,5-May
1/18/20,control,28,11,GUAGUI,0.000749989,2.315311875,395.974,341.5828521,33.53365109,0.07750473,0.047652818,82.03023497,26.07995183,25.4307,3.262247036,70.00047,2.321477642,3.316374365,0.940769394,-33.0744938,33.29115691,3.179255421,85.4261535,1660.267308,1814.68,0.085090866,17.92030475,0.584852426,0.00591601,0.956664536,500.019,421.2039586,0.842375907,0.194751814,6,395.974,399.895,23.6472,22.5481,399.738,97.9711,0.200254,25.7079,25.4307,9990,5-May
1/18/20,control,28,12,INGLAU,0.000694645,1.500207972,397.256,356.3781678,34.98764972,0.069991334,0.043103119,81.9814187,26.17719941,25.515,3.278625565,69.4911497,2.315570315,3.332180177,0.96305525,-30.63384156,32.90057074,3.1348211,87.38296898,2562.869231,2788.68,0.08097407,17.04289299,0.669693188,0.003983264,0.273261902,499.713,420.9469281,0.842377381,0.194754762,6,397.256,399.92,23.586,22.5687,400.036,97.9758,0.199826,25.7881,25.515,10035,5-May
1/18/20,control,28,13,SCHMOR,0.000959385,1.443339254,397.238,365.9935634,35.93447193,0.094539717,0.057912894,82.02847503,26.17130455,25.6992,3.314663713,69.41555133,2.323999752,3.347952595,0.990663961,-42.30888409,20.12514659,1.937867535,61.78260506,1243.325,1310.41,0.051193901,10.78130033,0.551682298,0.003845903,1.709625232,500.008,421.1947162,0.842375954,0.194751909,6,397.238,399.976,23.67,22.2643,399.805,97.9819,0.201444,25.8678,25.6992,9900,5-May
1/18/20,control,28,14,TETBAL,0.001365597,1.404050588,396.994,375.5041819,36.86694951,0.148376848,0.089880295,82.05551275,26.08116631,25.3586,3.248295588,69.63606898,2.337839286,3.357224668,0.910456303,-60.22282806,66.4230373,6.380027941,94.63574992,2065.386923,2174.34,0.050108574,10.55623416,0.600384484,0.00375138,0.633010477,500.174,421.3344467,0.842375747,0.194751493,6,396.994,399.915,23.8118,21.811,399.764,97.9788,0.201064,25.9145,25.3586,9915,5-May
1/18/20,drought,22,1,SCHMOR,0.00050708,1.50633699,397.43,340.1538222,33.39804249,0.047781565,0.029564539,82.04570168,26.2174577,25.5386,3.283223627,67.86775987,2.258689683,3.328074607,1.024533945,-22.36220643,27.69363044,2.625205505,90.00233119,1221.881923,1310.07,0.067315546,14.17952935,0.558405276,0.003994612,1.710328456,500.116,421.2854315,0.842375432,0.194750864,6,397.43,399.99,23.0044,22.2618,400.281,97.9855,0.199616,25.7673,25.5386,10110,5-May
1/18/20,drought,22,3,GUAGUI,0.00103851,2.167186842,396.175,356.3926804,34.98921314,0.10518494,0.064298954,82.0490098,26.09616161,25.3902,3.254403801,68.52511204,2.287795678,3.338623768,0.966608124,-45.79831092,51.7037609,4.939275181,92.89373496,1670.248846,1809.35,0.076879075,16.19457817,0.601027993,0.00556307,0.962428496,500.133,421.3000281,0.842375984,0.194751968,6,396.175,400.042,23.303,21.7819,400.096,97.9755,0.200515,25.8207,25.3902,9990,5-May
1/18/20,drought,22,6,PREMON,0.000468322,2.560938982,396.359,301.9405048,29.64086467,0.046581141,0.028855082,82.0292953,26.35751669,25.7105,3.316885744,69.86898091,2.348382273,3.361122836,0.968503471,-20.65299558,29.8379842,2.571032246,93.78531616,1287.158077,1395.21,0.077444917,16.30985808,0.613448871,0.006499242,1.544935888,500.013,421.1989281,0.842375954,0.194751909,5.4,396.359,400.068,23.9221,23.3048,399.877,97.9677,0.200198,25.9341,25.7105,9975,5-May
1/18/20,drought,22,7,INGLAU,0.000360101,2.151972818,396.468,295.6487506,29.02578558,0.036409572,0.022580893,82.00908864,26.49028136,25.5448,3.284432527,69.17734104,2.332675731,3.372022827,0.951756796,-15.88044316,53.43496618,5.102427794,124.6660395,1550.490385,1715.5,0.096187476,20.25204712,0.595488196,0.005529645,1.069787234,499.89,421.095301,0.842375925,0.194751849,6,396.468,399.91,23.76,23.2327,400.013,97.9771,0.199488,25.9888,25.5448,10020,5-May
1/18/20,drought,22,8,MANBID,2.38E-05,0.743637132,398.851,-141.3124141,-13.8730642,0.002212837,0.00138237,82.02000343,26.60618778,25.9636,3.36699743,69.38530115,2.33999282,3.372461863,1.02700461,-1.050845682,3.290716447,0.315545406,84.5754196,1629.683846,1730.56,0.058291047,12.27464268,0.609398114,0.002184902,1.051775148,499.955,421.1501891,0.842376192,0.194752384,6,398.851,399.981,23.8354,23.8005,399.898,97.9725,0.200504,25.991,25.9636,9990,5-May
1/18/20,drought,22,10,MANBID,3.65E-05,1.014552969,398.453,-86.69903812,-8.51190678,0.003367104,0.002102919,82.03405899,26.61430171,25.9254,3.359392039,68.94481142,2.326348586,3.374218506,1.033043453,-1.607665552,8.880518785,0.856683059,90.16359528,2141.633846,2269.11,0.056178922,11.83210684,0.604911177,0.002827647,0.564807347,500.05,421.229401,0.842374565,0.194749129,6,398.453,399.997,23.6953,23.6419,399.901,97.9766,0.201038,25.9998,25.9254,9900,5-May
1/18/20,drought,22,11,GUAGUI,0.000257486,1.793996825,397.1,274.0735964,26.90799754,0.0245839,0.015284571,82.02471941,26.63427357,25.9877,3.371803328,69.76269307,2.367434839,3.393554254,1.004368489,-11.3551485,13.0284485,1.252630533,84.95064994,1803.289615,1970.19,0.084712837,17.83957541,0.585349636,0.004678624,0.802222121,499.988,421.1776162,0.84237545,0.194750899,6,397.1,399.945,24.1137,23.7367,399.911,97.9776,0.2004,26.0964,25.9877,9960,5-May
