"Species","Variable","beta","2.5 %","97.5 %","se","z","p"
"CECSCH","Moisture",-0.009,-0.042,0.024,0.017,-0.53,0.59
"CECSCH","Densiometer",-0.024,-0.099,0.05,0.038,-0.64,0.52
"CECSCH","Start_LA",-0.042,-0.155,0.072,0.058,-0.72,0.47
"GUAGUI","Moisture",-0.164,-0.24,-0.088,0.039,-4.24,0
"GUAGUI","Densiometer",0.052,-0.115,0.219,0.085,0.61,0.54
"GUAGUI","Start_LA",0.002,-0.067,0.072,0.036,0.06,0.95
"INGLAU","Moisture",-0.361,-0.657,-0.064,0.151,-2.39,0.017
"INGLAU","Densiometer",0.418,0.036,0.8,0.195,2.15,0.032
"INGLAU","Start_LA",-0.058,-0.142,0.026,0.043,-1.35,0.18
"MANBID","Moisture",-0.207,-0.354,-0.06,0.075,-2.76,0.006
"MANBID","Densiometer",0.029,-0.251,0.308,0.143,0.2,0.84
"MANBID","Start_LA",-0.226,-0.478,0.025,0.128,-1.76,0.078
"PREMON","Moisture",-0.149,-0.208,-0.09,0.03,-4.93,0
"PREMON","Densiometer",0.003,-0.126,0.132,0.066,0.05,0.96
"PREMON","Start_LA",-0.024,-0.161,0.113,0.07,-0.35,0.73
"SCHMOR","Moisture",-0.026,-0.059,0.008,0.017,-1.51,0.13
"SCHMOR","Densiometer",0.014,-0.065,0.093,0.04,0.35,0.73
"SCHMOR","Start_LA",-0.017,-0.089,0.055,0.037,-0.45,0.65
"TETBAL","Moisture",-0.039,-0.091,0.012,0.026,-1.5,0.13
"TETBAL","Densiometer",0.045,-0.078,0.167,0.062,0.72,0.47
"TETBAL","Start_LA",-0.013,-0.035,0.009,0.011,-1.19,0.23
"UREBAC","Moisture",-0.03,-0.06,0.001,0.016,-1.9,0.057
"UREBAC","Densiometer",0.096,0.035,0.158,0.031,3.08,0.002
"UREBAC","Start_LA",-0.179,-0.304,-0.055,0.064,-2.82,0.005
