"","grow_avg-cor","grow_avg-p","surv_avg-cor","surv_avg-p","surv_sens-cor","surv_sens-p","surv_tol-cor","surv_tol-p","grow_sens-cor","grow_sens-p","grow_tol-cor","grow_tol-p"
"rc1",0.53,0.18,0.79,0.02,0.49,0.21,0.85,0.01,0.47,0.24,-0.43,0.29
"rc2",0.76,0.03,0.58,0.13,0.76,0.03,0.5,0.21,0.84,0.01,-0.86,0.01
"logLeafArea",0.64,0.09,0.69,0.06,0.53,0.17,0.72,0.04,0.64,0.08,-0.67,0.07
"logLMA",0.57,0.14,0.85,0.01,0.65,0.08,0.81,0.01,0.5,0.2,-0.44,0.28
"logLeafThicknessMean",0.33,0.43,0.78,0.02,0.56,0.15,0.68,0.06,0.23,0.58,-0.13,0.77
"LDMC",0.67,0.07,0.74,0.04,0.52,0.18,0.85,0.01,0.63,0.09,-0.57,0.14
"logRSratio",0.34,0.41,0.53,0.17,0.55,0.16,0.28,0.51,0.51,0.19,-0.73,0.04
"logSRL",-0.46,0.26,-0.69,0.06,-0.41,0.31,-0.73,0.04,-0.46,0.25,0.51,0.19
"logRTD",0.64,0.09,0.72,0.04,0.51,0.19,0.83,0.01,0.59,0.12,-0.53,0.17
"logRootLength",0.74,0.03,0.75,0.03,0.78,0.02,0.67,0.07,0.82,0.01,-0.86,0.01
"logRootAvgDiam",-0.21,0.61,0.22,0.6,-0.06,0.89,0.1,0.82,-0.09,0.82,-0.16,0.7
"logRootDepth",0.77,0.02,0.71,0.05,0.8,0.02,0.7,0.05,0.85,0.01,-0.9,0
"logRootTips",0.78,0.02,0.68,0.06,0.79,0.02,0.61,0.11,0.82,0.01,-0.79,0.02
