"","cor","p","cor","p","surv_sens-cor","surv_sens-p","surv_tol-cor","surv_tol-p","grow_sens-cor","grow_sens-p","grow_tol-cor","grow_tol-p"
"rc1",0.53,0.18,0.79,0.02,-0.07,0.87,0.85,0.01,0.49,0.22,-0.45,0.27
"rc2",0.76,0.03,0.58,0.13,0.22,0.6,0.49,0.22,0.84,0.01,-0.87,0.01
"logLeafArea",0.64,0.09,0.69,0.06,-0.02,0.96,0.72,0.04,0.66,0.08,-0.67,0.07
"logLMA",0.57,0.14,0.85,0.01,0.16,0.71,0.79,0.02,0.52,0.19,-0.46,0.25
"logLeafThicknessMean",0.33,0.43,0.78,0.02,0.28,0.5,0.64,0.09,0.24,0.57,-0.15,0.72
"LDMC",0.67,0.07,0.74,0.04,-0.21,0.62,0.86,0.01,0.64,0.08,-0.59,0.12
"logRSratio",0.34,0.41,0.53,0.17,0.62,0.1,0.22,0.6,0.52,0.19,-0.69,0.06
"logSRL",-0.46,0.26,-0.69,0.06,0.05,0.91,-0.73,0.04,-0.48,0.23,0.51,0.2
"logRTD",0.64,0.09,0.72,0.04,-0.19,0.66,0.84,0.01,0.6,0.11,-0.55,0.16
"logRootLength",0.74,0.03,0.75,0.03,0.25,0.56,0.64,0.08,0.83,0.01,-0.86,0.01
"logRootAvgDiam",-0.21,0.61,0.22,0.6,0.28,0.5,0.06,0.89,-0.08,0.85,-0.11,0.79
"logRootDepth",0.77,0.02,0.71,0.05,0.07,0.86,0.69,0.06,0.86,0.01,-0.9,0
"logRootTips",0.78,0.02,0.68,0.06,0.21,0.61,0.6,0.12,0.82,0.01,-0.81,0.02
